state,x,y
Andhra Pradesh,-130,-220
Arunachal Pradesh,280,170
Assam,260,100
Bihar,70,80
Chhattisgarh,-50,-50
Goa,-250,-230
Gujarat,-330,-5
Haryana,-190,190
Himachal Pradesh,-180,260
Jharkhand,50,10
Karnataka,-220,-230
Kerala,-200,-350
Madhya Pradesh,-150,10
Maharashtra,-200,-90
Manipur,280,50
Meghalaya,200,80
Mizoram,260,-10
Nagaland,310,100
Odisha,30,-90
Punjab,-200,230
Rajasthan,-290,100
Sikkim,180,140
Tamil Nadu,-140,-350
Telangana,-130,-150
Tripura,230,20
Uttar Pradesh,-70,100
Uttarakhand,-120,220
West Bengal,30,-70
Jammu & Kashmir,-180,310
Delhi,-170,170
